src_type,category,subcategory,year,em_type,tons_per_day,population,TpDpCap
MOBILE,ON-ROAD MOTOR VEHICLES,ALL OTHER BUSES - DIESEL (OBD),2000,nox,0.00139353,1203.0,1.1583790523690773e-06
MOBILE,ON-ROAD MOTOR VEHICLES,MOTOR HOMES (MH),2000,nox,0.00239872,1203.0,1.9939484621778887e-06
MOBILE,OTHER MOBILE SOURCES,RECREATIONAL BOATS,2000,nox,0.04179492,1203.0,3.474224438902743e-05
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD RECREATIONAL VEHICLES,2000,nox,0.00207939,1203.0,1.728503740648379e-06
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT,2000,nox,0.01569851,1203.0,1.3049467996674979e-05
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT (PERP),2000,nox,0.02767053,1203.0,2.3001271820448876e-05
MOBILE,OTHER MOBILE SOURCES,FARM EQUIPMENT,2000,nox,0.01775504,1203.0,1.4758969243557772e-05
MOBILE,OTHER MOBILE SOURCES,FUEL STORAGE AND HANDLING,2000,nox,0.0,1203.0,0.0
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,BIOGENIC SOURCES,2000,nox,0.02742863,1203.0,2.280019118869493e-05
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,GEOGENIC SOURCES,2000,nox,0.0,1203.0,0.0
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,WILDFIRES,2000,nox,0.01442062,1203.0,1.1987215295095595e-05
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,pm,0.0,1203.0,0.0
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,pm,0.00029985,1203.0,2.492518703241895e-07
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,pm,0.0,1203.0,0.0
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,pm,0.0,1203.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,pm,0.0,1203.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,pm,0.0,1203.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,pm,0.0,1203.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,pm,0.0,1203.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,pm,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,2000,pm,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,2000,pm,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,2000,pm,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,2000,pm,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,2000,pm,0.01760151,1203.0,1.463134663341646e-05
AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,2000,pm,7.261e-05,1203.0,6.035743973399834e-08
AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,2000,pm,1.22202122,1203.0,0.0010158114879467996
AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,2000,pm,0.06408176,1203.0,5.3268295926849545e-05
AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST,2000,pm,1.79069363,1203.0,0.001488523383208645
AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST,2000,pm,0.04,1203.0,3.325020781379884e-05
AREAWIDE,MISCELLANEOUS PROCESSES,FIRES,2000,pm,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES),2000,pm,0.0,1203.0,0.0
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA),2000,pm,0.00656147,1203.0,5.454256026600166e-06
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 1 (LDT1),2000,pm,0.00169275,1203.0,1.4071072319201996e-06
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 2 (LDT2),2000,pm,0.00195741,1203.0,1.6271072319201996e-06
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM DUTY TRUCKS (MDV),2000,pm,0.0011081,1203.0,9.211138819617623e-07
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 1 (LHDGT1),2000,pm,0.00059534,1203.0,4.948794679966749e-07
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 2 (LHDGT2),2000,pm,8.44e-05,1203.0,7.015793848711554e-08
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY GAS TRUCKS (MHDGT),2000,pm,0.00013974,1203.0,1.1615960099750623e-07
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY GAS TRUCKS (HHDGT),2000,pm,1.414e-05,1203.0,1.1753948462177888e-08
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 1 (LHDDT1),2000,pm,0.00041768,1203.0,3.4719866999168746e-07
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 2 (LHDDT2),2000,pm,8.887e-05,1203.0,7.387364921030756e-08
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY DIESEL TRUCKS (MHDDT),2000,pm,0.00112738,1203.0,9.371404821280133e-07
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY DIESEL TRUCKS (HHDDT),2000,pm,0.00897536,1203.0,7.460814630091438e-06
MOBILE,ON-ROAD MOTOR VEHICLES,MOTORCYCLES (MCY),2000,pm,2.034e-05,1203.0,1.6907730673316705e-08
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY DIESEL URBAN BUSES (UBD),2000,pm,6.3e-06,1203.0,5.236907730673317e-09
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY GAS URBAN BUSES (UBG),2000,pm,4.01e-06,1203.0,3.333333333333333e-09
