src_type,category,subcategory,year,em_type,tons_per_day,population,TpDpCap
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,nh3,0.0,60395.0,0.0
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,nh3,0.0,60395.0,0.0
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,nh3,0.0,60395.0,0.0
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,nh3,0.0,60395.0,0.0
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,nh3,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,nh3,0.00071793,60395.0,1.188724232138422e-08
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,nh3,0.02730861,60395.0,4.5216673565692526e-07
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,nh3,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,nh3,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,nh3,0.09703365,60395.0,1.6066503849656428e-06
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,nh3,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,nh3,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,nh3,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,nh3,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),2000,nh3,0.0,60395.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,2000,nh3,0.0,60395.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,nh3,0.0,60395.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,nh3,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,2000,nh3,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,2000,nh3,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,2000,nh3,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,2000,nh3,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,2000,nh3,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),2000,nh3,0.0,60395.0,0.0
AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,2000,nh3,0.0,60395.0,0.0
