,Year,Company Name,CEC Plant ID,Plant Name,State,Capacity (MW),Net MWh,type
1016,2020.0,Southern Power Company,S0531,Garland Solar Facility,CA,205.1,541908.0,pv
1017,2020.0,Not Available,S9401,Garnet Solar Power Generation Station 1,CA,4.0,7364.0,pv
1018,2020.0,RE Gaskwell West 1 LLC,S0639,Gaskell West 1,CA,23.4,53349.0,pv
1019,2020.0,Pacific Gas & Electric (PG&E),S0224,Gates Solar Station,CA,20.0,30955.0,pv
1020,2020.0,Genentech Inc,S0403,Genentech Inc - Oceanside,CA,4.3,6570.0,pv
1021,2020.0,Tesla Inc.,S0630,Genentech Inc. - Vacaville,CA,7.9,8009.0,pv
1022,2020.0,Not Available,S9065,General Chemical Corp/Chevron Energy Solutions,CA,1.0,1622.0,pv
1023,2020.0,Not Available,S9076,George Jackson,CA,1.0,1622.0,pv
1024,2020.0,Not Available,S9066,Ghiradelli Chocolate,CA,1.0,1622.0,pv
1025,2020.0,Clenera - Renewable Energy,S0605,Giffen Solar Park LLC,CA,20.0,30429.0,pv
1026,2020.0,Pacific Gas & Electric (PG&E),S0178,Giffen Solar Station,CA,10.0,19037.0,pv
1027,2020.0,Thrifty Oil,S0208,Golden Springs Building C1,CA,1.3,1753.0,pv
1028,2020.0,Thrifty Oil,S0209,Golden Springs Building D1,CA,1.3,-706.0,pv
1029,2020.0,Thrifty Oil,S0576,Golden Springs Building F,CA,1.3,2387.0,pv
1030,2020.0,Thrifty Oil,S0575,Golden Springs Building G,CA,1.3,2213.0,pv
1031,2020.0,Thrifty Oil,S0438,Golden Springs Building H,CA,1.5,2702.0,pv
1032,2020.0,Thrifty Oil,S0577,Golden Springs Building L,CA,1.0,1592.0,pv
1033,2020.0,Thrifty Oil,S0439,Golden Springs Building M,CA,1.8,2925.0,pv
1034,2020.0,Not Available,S9012,Golden State Vintners,CA,1.0,1622.0,pv
1035,2020.0,Not Available,S9202,Goodbar Solar 1 LLC,CA,1.5,2628.0,pv
1036,2020.0,Not Available,S9005,Google Inc.,CA,1.0,1622.0,pv
1037,2020.0,Not Available,S9031,Google Inc.,CA,1.0,1622.0,pv
1038,2020.0,Not Available,S9102,Granite Construction Company,CA,1.1,1703.0,pv
1039,2020.0,Yolo County General Services,S0310,Grasslands EPWF,CA,2.5,4598.0,pv
1040,2020.0,Yolo County General Services,S0311,Grasslands RES-BCT,CA,2.5,4018.0,pv
1041,2020.0,Great Valley Solar Portfolio Holdings LLC,S0653,Great Valley Solar Portfolio (Tranquillity 8),CA,200.0,530749.0,pv
1042,2020.0,OL Elk Grove Trust a Delaware Statutory Trust,S0204,Green Acres Solar Facility 1,CA,3.0,6720.0,pv
1043,2020.0,OL Elk Grove Trust a Delaware Statutory Trust,S0203,Green Acres Solar Facility 2,CA,1.0,2320.0,pv
1044,2020.0,S-Power (Sustainable Power Group),S0666,Green Beanworks B,CA,3.0,7019.0,pv
1045,2020.0,S-Power (Sustainable Power Group),S0667,Green Beanworks C,CA,3.0,7546.0,pv
1046,2020.0,S-Power (Sustainable Power Group),S0668,Green Beanworks D,CA,3.0,7291.0,pv
1047,2020.0,LIGHTBEAM POWER COMPANY GRIDLEY MAIN TWO LLC,S9172,Gridley Main Two,CA,2.5,3051.0,pv
1048,2020.0,Not Available,S9087,Grimmway Enterprises Inc.,CA,1.0,1622.0,pv
1049,2020.0,Not Available,S9088,Grimmway Enterprises Inc.,CA,1.0,1622.0,pv
1050,2020.0,Not Available,S9091,Grimmway Enterprises Inc.,CA,1.0,1622.0,pv
1051,2020.0,Not Available,S9014,Grundfos Pumps,CA,1.0,1622.0,pv
1052,2020.0,Sacramento PV Energy LLC,S0156,Grundman-Wilkinson Solar Farm (Bruceville Road),CA,18.0,32686.0,pv
1053,2020.0,Pacific Gas & Electric (PG&E),S0225,Guernsey Solar Station,CA,20.0,41822.0,pv
1054,2020.0,Los Angeles Community College District,S0182,Harbor College LACCD,CA,1.1,1927.0,pv
1055,2020.0,S-Power (Sustainable Power Group),S0427,Hayworth Solar Farm,CA,26.7,48545.0,pv
1056,2020.0,Not Available,S9037,Health Plan Inc. Kaiser Foundation,CA,1.0,1622.0,pv
1057,2020.0,Not Available,S9049,Health Plan Inc. Kaiser Foundation,CA,1.0,1622.0,pv
1058,2020.0,AxInfra US LP,S0298,Heber Solar Facility,CA,10.0,24537.0,pv
1059,2020.0,Southern Power Company,S0532,Henrietta Solar Facility,CA,102.0,242362.0,pv
1060,2020.0,Not Available,S9003,Hewlett Packard,CA,1.0,1620.0,pv
1061,2020.0,Duke Energy Renewables,S9409,Highlander Solar 1 (SEPV8),CA,12.0,27106.0,pv
1062,2020.0,Duke Energy Renewables,S9410,Highlander Solar 2 (SEPV9),CA,9.0,20158.0,pv
1063,2020.0,Hollister Solar LLC,S0428,Hollister Solar,CA,1.5,3809.0,pv
1064,2020.0,Pacific Gas & Electric (PG&E),S0177,Huron Solar Station,CA,20.0,37665.0,pv
1065,2020.0,Not Available,S9300,Ignite Solar LLC_(Achomawi),CA,1.5,1971.0,pv
1066,2020.0,Not Available,S9301,Ignite Solar LLC_(Ahjumawi),CA,1.5,1971.0,pv
1067,2020.0,Not Available,S9195,Ignite Solar LLC_(Alkali Gardner A),CA,1.5,1971.0,pv
1068,2020.0,Not Available,S9196,Ignite Solar LLC_(Merced Ave A),CA,1.5,1971.0,pv
1069,2020.0,Not Available,S9197,Ignite Solar LLC_(Merced Ave B),CA,1.5,1971.0,pv
1070,2020.0,Not Available,S9198,Ignite Solar LLC_(Merced Ave C),CA,1.5,1971.0,pv
1071,2020.0,Not Available,S9320,ImModo California 1 LLC_(Alta 1),CA,1.5,1971.0,pv
1072,2020.0,Not Available,S9321,ImModo California 1 LLC_(Alta 3),CA,1.5,1971.0,pv
1073,2020.0,Not Available,S9322,ImModo California 1 LLC_(Alta 4),CA,1.5,1971.0,pv
1074,2020.0,Not Available,S9323,ImModo California 1 LLC_(Alta 5),CA,1.5,1971.0,pv
1075,2020.0,Not Available,S9324,ImModo California 1 LLC_(Alta 6),CA,1.5,1971.0,pv
1076,2020.0,Not Available,S9325,ImModo California 1 LLC_(East Orosi 1),CA,1.5,1971.0,pv
1077,2020.0,Not Available,S9326,ImModo California 1 LLC_(East Orosi 2),CA,1.5,1971.0,pv
1078,2020.0,Not Available,S9327,ImModo California 1 LLC_(East Orosi 3),CA,1.5,1971.0,pv
1079,2020.0,Tenaska Inc.,S0255,Imperial Solar Energy Center South,CA,128.9,282968.0,pv
1080,2020.0,Tenaska Inc.,S0440,Imperial Solar Energy Center West,CA,148.7,390045.0,pv
1081,2020.0,D. E. Shaw,S0696,Imperial Valley Solar 2,CA,150.0,413970.0,pv
1082,2020.0,Onward Energy,S0342,Imperial Valley Solar Company (IVSC) 2 LLC,CA,20.0,43991.0,pv
1083,2020.0,Not Available,S9112,Independence HS,CA,1.2,1897.0,pv
1084,2020.0,Intertie,S0221,Industry MetroLink PV 1,CA,1.5,2503.0,pv
1085,2020.0,S-Power (Sustainable Power Group),S9277,Industry Solar Power Generation Station 1,CA,1.5,4118.0,pv
1086,2020.0,Not Available,S9067,Inergy Propoane LLC,CA,1.0,1622.0,pv
1087,2020.0,Not Available,S9050,Ingomar Packing Co.,CA,1.0,1622.0,pv
1088,2020.0,Not Available,S9098,Intel Corporation,CA,1.0,1653.0,pv
1089,2020.0,Tesla Inc.,S0622,Intel Corporation - Folsom Carport Phase 1,CA,1.1,203.0,pv
1090,2020.0,Not Available,S9096,Intel Corporation - Folsom Carport Phase 2,CA,1.0,210.0,pv
1091,2020.0,Tesla Inc.,S0629,Intel Corporation - Folsom Carport Phase 3,CA,6.4,4287.0,pv
1092,2020.0,Longroad Energy,S0114,Ironwood State Prison,CA,1.0,2004.0,pv
1093,2020.0,Not Available,S0357,Ironwood State Prison II,CA,4.0,7008.0,pv
1094,2020.0,Not Available,S9122,Irrigation District South San Joaquin,CA,1.3,2027.0,pv
1095,2020.0,Tulare PV I LLC,S0348,Ivanhoe Solar,CA,3.5,6441.0,pv
1096,2020.0,Imperial Irrigation District,S0161,IVSC1 - (SunPeak 1) - 23MW PV,CA,23.0,43231.0,pv
1097,2020.0,Not Available,S9033,Jackson Michael,CA,1.0,1622.0,pv
1098,2020.0,Not Available,S0594,Jacumba Solar Farm,CA,20.0,38757.0,pv
1099,2020.0,Not Available,S9104,JATCO,CA,1.1,1712.0,pv
1100,2020.0,Not Available,S9203,Josh Energy LLC,CA,1.5,2628.0,pv
1101,2020.0,Not Available,S9227,JRam Solar 1 LLC,CA,1.5,2628.0,pv
1102,2020.0,Not Available,S9228,JRam Solar 2 LLC,CA,1.5,2628.0,pv
1103,2020.0,Not Available,S9229,JRam Solar 3 LLC,CA,1.0,1752.0,pv
1104,2020.0,Sacramento PV Energy LLC,S9412,Jurupa Valley Solar PV,CA,1.5,2932.0,pv
1105,2020.0,Onward Energy,S0319,Kansas LLC,CA,20.0,45042.0,pv
1106,2020.0,Clearway Energy,S0260,Kansas South,CA,20.0,48165.0,pv
1107,2020.0,Not Available,S9193,KDW Solar 1 LLC (KDW Solar 1 ),CA,1.5,2628.0,pv
1108,2020.0,Not Available,S9199,KDW Solar 2 LLC,CA,1.5,1971.0,pv
1109,2020.0,Not Available,S9230,Kell Solar 1 LLC,CA,1.0,1752.0,pv
1110,2020.0,Not Available,S9231,Kell Solar 2 LLC,CA,1.0,1752.0,pv
1111,2020.0,Onward Energy,S0315,Kent South LLC,CA,20.0,48237.0,pv
1112,2020.0,Not Available,S9106,Kern County Water Agency,CA,1.1,1784.0,pv
1113,2020.0,Not Available,S9152,Kern County Water Agency,CA,4.1,6689.0,pv
1114,2020.0,Not Available,S9204,Kern River (Bena B),CA,1.5,2628.0,pv
1115,2020.0,Not Available,S0301,Kettleman Solar,CA,1.0,2557.0,pv
1116,2020.0,CD Arevon USA Inc.,S0566,Kingbird Solar A,CA,20.7,56411.0,pv
1117,2020.0,CD Arevon USA Inc.,S0567,Kingbird Solar B,CA,20.7,57139.0,pv
1118,2020.0,Tulare PV I LLC,S9181,Kingsburg Solar (1 & 2),CA,3.0,6706.0,pv
1119,2020.0,Silicon Ranch Corporation,S0377,Kohl's - San Bernardino - Central,CA,1.0,1651.0,pv
1120,2020.0,Longroad Energy,S0370,Kohl's - San Bernardino - Mill,CA,1.0,1455.0,pv
1121,2020.0,Konoike Pacific California Inc,S0144,Konoike Pacific California Inc,CA,1.4,1730.0,pv
1122,2020.0,Sacramento PV Energy LLC,S0155,Kost (Fleshman Solar Farm),CA,3.0,5500.0,pv
1123,2020.0,L-8 Solar Project LLC,S0226,L-8 Solar Project,CA,1.5,2175.0,pv
1124,2020.0,LA County MTA/Metro,S0183,LA County MTA/Metro,CA,1.0,1840.0,pv
1125,2020.0,Los Angeles Community College District,S0152,LA Harbor College,CA,2.1,2841.0,pv
1126,2020.0,X-Elio North America Inc.,S0179,La Joya Del Sol,CA,1.5,1452.0,pv
1127,2020.0,Not Available,S0592,Lancaster B,CA,3.0,7656.0,pv
1128,2020.0,Not Available,S9232,Lancaster Del Sur Ranch C2 LLC,CA,1.5,2628.0,pv
1129,2020.0,S-Power (Sustainable Power Group),S9413,Lancaster Dry Farm Ranch B,CA,5.0,11897.0,pv
1130,2020.0,S-Power (Sustainable Power Group),S9415,Lancaster Little Rock C Solar PV,CA,5.0,11301.0,pv
1131,2020.0,Not Available,S0670,Lancaster Solar,CA,5.5,10589.0,pv
1132,2020.0,Clenera - Renewable Energy,S9233,Lancaster Solar 1 LLC,CA,1.5,4330.0,pv
1133,2020.0,Clenera - Renewable Energy,S9234,Lancaster Solar 2 LLC,CA,1.5,3862.0,pv
1134,2020.0,S-Power (Sustainable Power Group),S0612,Lancaster WAD B,CA,3.0,7354.0,pv
1135,2020.0,Not Available,S9287,LanWest Solar Farm LLC,CA,3.5,4599.0,pv
1136,2020.0,Los Angeles Community College District,S0219,LAPC Carport Shade Structures (Los Angeles Pierce College),CA,2.1,3313.0,pv
1137,2020.0,Lemoore PV 1 LLC,S0571,Lemoore PV 1 LLC,CA,1.5,1307.0,pv
1138,2020.0,Not Available,S9235,Leolani Solar 1 LLC,CA,1.5,2628.0,pv
1139,2020.0,Not Available,S9236,Leolani Solar 2 LLC,CA,1.0,1752.0,pv
1140,2020.0,Not Available,S9268,Lincoln Solar Millenium Fund LLC_(Lincoln Solar #A),CA,1.5,1971.0,pv
1141,2020.0,Not Available,S9269,Lincoln Solar Millenium Fund LLC_(Lincoln Solar #B),CA,1.5,1971.0,pv
1142,2020.0,Not Available,S9270,Lincoln Solar Millenium Fund LLC_(Nicholas Solar #C),CA,1.5,1971.0,pv
1143,2020.0,Tulare PV I LLC,S0609,Lindsay Solar,CA,4.0,7375.0,pv
1144,2020.0,Longroad Energy,S0703,Little Bear Solar 1,CA,40.0,2263.0,pv
1145,2020.0,Longroad Energy,S0704,Little Bear Solar 3,CA,20.0,1324.0,pv
1146,2020.0,Longroad Energy,S0705,Little Bear Solar 4,CA,50.0,3125.0,pv
1147,2020.0,Longroad Energy,S0706,Little Bear Solar 5,CA,50.0,2773.0,pv
1148,2020.0,Not Available,S0589,Little Rock Pham Solar,CA,3.0,8285.0,pv
1149,2020.0,Not Available,S9237,Lola Energy 1 LLC,CA,1.0,1752.0,pv
1150,2020.0,Not Available,S9238,Lola Energy 2 LLC,CA,1.0,1752.0,pv
1151,2020.0,Not Available,S9153,Loma Linda VA Health Care System,CA,2.8,4971.0,pv
1152,2020.0,Not Available,S9032,Lomo Cold Storage LLC,CA,1.0,1622.0,pv
1153,2020.0,EDP Renewables North America LLC,S0328,Lone Valley Solar Park 1,CA,10.0,22966.0,pv
1154,2020.0,EDP Renewables North America LLC,S0329,Lone Valley Solar Park 2,CA,20.0,46026.0,pv
1155,2020.0,Duke Energy Renewables,S0545,LongBoat Solar,CA,20.0,51134.0,pv
1156,2020.0,Not Available,S9158,Los Angeles Community College District,CA,2.3,3998.0,pv
1157,2020.0,Not Available,S9053,Los Gatos Tomato Products,CA,1.0,1622.0,pv
1158,2020.0,Lost Hills Solar LLC,S0340,Lost Hills Solar,CA,20.0,52689.0,pv
1159,2020.0,Not Available,S9059,Madera Community Hospital,CA,1.0,1622.0,pv
1160,2020.0,Not Available,S0644,Manteca Land 1,CA,1.0,1874.0,pv
